original_id,new_name,words_used,status,txt_path,img_path
0b37ea562c46_1101,almost forgot to tell emma,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1101_en_US_notes_people relationships___PART032_2.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1101 almost forgot to tell emma.jpg
0b37ea562c46_1102,dont forget abt car,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1102_en_US_notes_people relationships___PART032_3.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1102 dont forget abt car registration.jpg
0b37ea562c46_1104,asked my group chat abt invoice tracker,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1104_en_US_notes_people relationships___PART032_5.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1104 told my group chat abt invoice tracker.jpg
0b37ea562c46_1105,thinking abt flashcard,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1105_en_US_notes_people relationships___PART032_6.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1105 thinking abt flashcard topics wiyh.jpg
0b37ea562c46_1106,low key worried abt bbq,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1106_en_US_notes_people relationships___PART032_7.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1106 low key worried abt bbq at park bc.jpg
0b37ea562c46_1108,nearly forgot to tell,6,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1108_en_US_notes_people relationships___PART032_9.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1108 almost forgot to tell.jpg
0b37ea562c46_1110,honestly realized i fixed that wiring is,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1110_en_US_notes_people relationships___PART032_11.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1110 just realized i fixed that wiring issue .jpg
0b37ea562c46_1111,messaged my twitter friend lytic dont fo,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1111_en_US_notes_people relationships___PART032_12.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1111 told my twitter friend lytic dont forget.jpg
0b37ea562c46_1113,apparently realized i need to,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1113_en_US_notes_people relationships___PART032_14.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1113 just realized i need to.jpg
0b37ea562c46_1115,honestly meaning to talk to julia,6,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1115_en_US_notes_people relationships___PART032_16.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1115 been meaning to talk to julia.jpg
0b37ea562c46_1116,aiming to go to post office tmrw,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1116_en_US_notes_people relationships___PART032_17.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1116 need to go to post office tmrw.jpg
0b37ea562c46_1117,just heard from julia,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1117_en_US_notes_people relationships___PART032_18.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1117 just heard from julia.jpg
0b37ea562c46_1118,planning to bring up ticket prices,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1118_en_US_notes_people relationships___PART032_19.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1118 gonna bring up ticket prices.jpg
0b37ea562c46_1121,meant to call jacob my chosen,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1121_en_US_notes_people relationships___PART033_22.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1121 gotta call jacob my chosen.jpg
0b37ea562c46_1122,wanna ask,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1122_en_US_notes_people relationships___PART033_23.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1122 wanna ask brandon if hes driving to alba.jpg
0b37ea562c46_1123,low key worried abt marketing,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1123_en_US_notes_people relationships___PART033_24.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1123 low key worried abt marketing pan draft .jpg
0b37ea562c46_1125,nearly forgot to tell rashad,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1125_en_US_notes_people relationships___PART033_26.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1125 almost forgot to tell rashad.jpg
0b37ea562c46_1128,texted my cousiin claire i need help wit,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1128_en_US_notes_people relationships___PART033_29.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1128 told my cousiin claire i need help with .jpg
0b37ea562c46_1129,been meaning to ask skylar,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1129_en_US_notes_people relationships___PART033_30.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1129 been meaning to ask skylar.jpg
0b37ea562c46_1131,cant know how nova expects me to drive,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1131_en_US_notes_people relationships___PART033_32.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1131 dont know how nova expects me to drive.jpg
0b37ea562c46_1134,lunch ideas,2,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/notes/1134_en_US_notes_people relationships___PART033_35.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/0b37ea562c46/screenshots/1134 lunch ideas running low sister suggested.jpg
16c12c41b1c4 - b2 - 3_1100,fyi my work bestie sloan thinks,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1100_en_US_notes_people relationships___PART032_1.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1100 so my work bestie sloan thinks.jpg
16c12c41b1c4 - b2 - 3_1101,btw realized i nwed to send damian an up,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1101_en_US_notes_people relationships___PART032_2.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1101 just realized i nwed to send damian an u.jpg
16c12c41b1c4 - b2 - 3_1102,actually realized i left,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1102_en_US_notes_people relationships___PART032_3.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1102 just realized i left.jpg
16c12c41b1c4 - b2 - 3_1103,low key worried abt geyting,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1103_en_US_notes_people relationships___PART032_4.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1103 low key worried abt geyting to.jpg
16c12c41b1c4 - b2 - 3_1104,dont forget abt tank,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1104_en_US_notes_people relationships___PART032_5.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1104 dont forget abt tank cleaning tmrw.jpg
16c12c41b1c4 - b2 - 3_1105,ok so imari,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1105_en_US_notes_people relationships___PART032_6.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1105 ok so imari my nana needs.jpg
16c12c41b1c4 - b2 - 3_1106,actually realized my cousin lyra said,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1106_en_US_notes_people relationships___PART032_7.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1106 just realized my cousin lyra said.jpg
16c12c41b1c4 - b2 - 3_1107,bout to bring up the case with,5,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1107_en_US_notes_people relationships___PART032_8.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1107 gonna bring up the case with.jpg
16c12c41b1c4 - b2 - 3_1108,have to send async update asap,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1108_en_US_notes_people relationships___PART032_9.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1108 need to send async update asap.jpg
16c12c41b1c4 - b2 - 3_1109,saw my mechanic,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1109_en_US_notes_people relationships___PART032_10.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1109 saw my mechanic josephine today and.jpg
16c12c41b1c4 - b2 - 3_1110,debating if i got,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1110_en_US_notes_people relationships___PART032_11.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1110 wondering if i got.jpg
16c12c41b1c4 - b2 - 3_1111,sidebar so sariah is bringing burgers,3,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1111_en_US_notes_people relationships___PART032_12.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1111 ok so sariah is bringing burgers.jpg
16c12c41b1c4 - b2 - 3_1112,have to tell keon babysitter gate,4,renamed,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/notes/1112_en_US_notes_people relationships___PART032_13.txt,/home/kamleshpatil/Desktop/Notes - PR and ontata/notes_app/output/Batch - 3 Final - P & R Notes/16c12c41b1c4 - b2 - 3/screenshots/1112 need to tell keon babysitter gate.jpg
